Bank Name,BNP Paribas,Deutsche Bank,Santander,ING Group,Intesa Sanpaolo,Société Générale,UniCredit,Barclays,BBVA,UBS
BNP Paribas,0.0,7.615,9.38,5.525,4.79,7.435,3.825,8.71,2.28,1.085
Deutsche Bank,0.335,0.0,0.41,0.24,0.21,0.325,0.165,0.38,0.1,0.05
Santander,2.24,0.51,0.0,1.62,1.405,2.18,1.12,2.55,0.67,0.32
ING Group,1.59,0.36,0.445,0.0,0.995,1.545,0.795,1.81,0.475,0.225
Intesa Sanpaolo,4.515,1.025,1.265,0.745,0.0,4.39,2.255,5.14,1.345,0.64
Société Générale,7.57,1.72,2.12,1.25,1.08,0.0,3.785,8.62,2.255,1.075
UniCredit,5.85,1.33,1.64,0.965,0.835,1.3,0.0,6.66,1.745,0.83
Barclays,1.585,0.36,0.445,0.26,0.225,0.35,0.18,0.0,0.47,0.225
BBVA,3.565,0.81,1.0,0.59,0.51,0.79,0.405,0.925,0.0,0.505
UBS,1.785,0.405,0.5,0.295,0.255,0.395,0.205,0.465,0.12,0.0
